CPU,GPU,RAM,Moves,Loop
33.3,0.0,1.226153984,1,0
42.3,0.0,1.22044416,2,0
40.8,0.0,1.227517952,3,0
44.1,0.0,1.227575296,4,0
43.3,0.0,1.237721088,5,0
42.4,0.0,1.228283904,6,0
43.6,0.0,1.221865472,7,0
43.5,0.0,1.2352512,8,0
45.5,0.0,1.229201408,9,0
43.4,0.0,1.225138176,10,0
43.4,0.0,1.223217152,11,0
44.0,0.0,1.224286208,12,0
46.9,0.0,1.224155136,13,0
40.1,0.0,1.224421376,14,0
45.9,0.0,1.2306432,15,0
45.2,0.0,1.224953856,16,0
43.4,0.0,1.225068544,17,0
46.3,0.0,1.232642048,18,0
43.0,0.0,1.22554368,19,0
43.5,0.0,1.2260352,20,0
46.9,0.0,1.229930496,21,0
45.2,0.0,1.2265472,22,0
46.7,0.0,1.225965568,23,0
42.4,0.0,1.226551296,24,0
47.3,0.0,1.230475264,25,0
45.1,0.0,1.227112448,26,0
46.9,0.0,1.22728448,27,0
44.4,0.0,1.227784192,28,0
43.7,0.0,1.22703872,29,0
50.2,0.0,1.233649664,30,0
51.4,0.0,1.236037632,31,0
53.4,0.0,1.234726912,32,0
52.3,0.0,1.226940416,33,0
48.4,0.0,1.2342272,34,0
54.5,0.0,1.234149376,35,0
50.1,0.0,1.22730496,36,0
44.1,0.0,1.227313152,37,0
49.9,0.0,1.22796032,38,0
44.1,0.0,1.228578816,39,0
48.5,0.0,1.227972608,40,0
48.8,0.0,1.227751424,41,0
47.2,0.0,1.2276736,42,0
46.0,0.0,1.228439552,43,0
43.8,0.0,1.22902528,44,0
45.2,0.0,1.228488704,45,0
44.2,0.0,1.22800128,46,0
46.5,0.0,1.229385728,47,0
48.2,0.0,1.232453632,1,1
52.2,0.0,1.232838656,2,1
46.5,0.0,1.233993728,3,1
47.0,0.0,1.235226624,4,1
46.1,0.0,1.234853888,5,1
46.3,0.0,1.235214336,6,1
50.0,0.0,1.243144192,7,1
47.7,0.0,1.237184512,8,1
47.4,0.0,1.236504576,9,1
48.2,0.0,1.24606464,10,1
47.4,0.0,1.243602944,11,1
52.8,0.0,1.24348416,12,1
58.6,0.0,1.23756544,13,1
52.8,0.0,1.244372992,14,1
56.4,0.0,1.244602368,15,1
50.7,0.0,1.24553216,16,1
51.4,0.0,1.246175232,17,1
49.0,0.0,1.265590272,18,1
50.9,0.0,1.246048256,19,1
50.7,0.0,1.245978624,20,1
52.5,0.0,1.240031232,21,1
51.4,0.0,1.239621632,22,1
55.7,0.0,1.244471296,23,1
54.3,0.0,1.246785536,24,1
49.7,0.0,1.240522752,25,1
50.6,0.0,1.268064256,26,1
57.8,0.0,1.241432064,27,1
53.8,0.0,1.243774976,28,1
46.9,0.0,1.247674368,29,1
58.2,0.0,1.24071936,30,1
54.4,0.0,1.248698368,31,1
59.6,0.0,1.24463104,32,1
52.5,0.0,1.266262016,33,1
57.6,0.0,1.249181696,34,1
59.4,0.0,1.242456064,35,1
57.7,0.0,1.2433408,36,1
57.6,0.0,1.243598848,37,1
52.6,0.0,1.24442624,38,1
50.4,0.0,1.250885632,1,2
50.4,0.0,1.247649792,2,2
50.6,0.0,1.24985344,3,2
51.1,0.0,1.250394112,4,2
52.8,0.0,1.244868608,5,2
51.1,0.0,1.251008512,6,2
52.6,0.0,1.251946496,7,2
52.2,0.0,1.252732928,8,2
51.0,0.0,1.244925952,9,2
52.8,0.0,1.254289408,10,2
54.3,0.0,1.253281792,11,2
55.2,0.0,1.254313984,12,2
54.0,0.0,1.252769792,13,2
55.9,0.0,1.255858176,14,2
56.0,0.0,1.2572672,15,2
57.4,0.0,1.258319872,16,2
60.0,0.0,1.258283008,17,2
56.0,0.0,1.25292544,18,2
56.7,0.0,1.25186048,19,2
60.3,0.0,1.25339648,20,2
59.4,0.0,1.260163072,21,2
61.1,0.0,1.260142592,22,2
64.5,0.0,1.255399424,23,2
54.6,0.0,1.26255104,24,2
58.3,0.0,1.278664704,25,2
60.2,0.0,1.255190528,26,2
57.0,0.0,1.255366656,27,2
56.9,0.0,1.260036096,28,2
56.2,0.0,1.25628416,29,2
54.8,0.0,1.256148992,30,2
61.0,0.0,1.26201856,31,2
58.8,0.0,1.261723648,32,2
60.0,0.0,1.255473152,33,2
63.2,0.0,1.25476864,34,2
53.9,0.0,1.255993344,35,2
58.4,0.0,1.262624768,36,2
65.8,0.0,1.280864256,37,2
69.3,0.0,1.26302208,38,2
61.6,0.0,1.263013888,39,2
63.4,0.0,1.262698496,40,2
64.3,0.0,1.263075328,41,2
62.9,0.0,1.279942656,42,2
64.2,0.0,1.256501248,43,2
55.7,0.0,1.263464448,44,2
59.8,0.0,1.263792128,45,2
56.7,0.0,1.26390272,46,2
63.9,0.0,1.264381952,47,2
65.8,0.0,1.262477312,48,2
65.7,0.0,1.259053056,49,2
56.6,0.0,1.283309568,1,3
57.5,0.0,1.257734144,2,3
56.3,0.0,1.25693952,3,3
56.9,0.0,1.266819072,4,3
56.0,0.0,1.258172416,5,3
58.2,0.0,1.264304128,6,3
58.2,0.0,1.264709632,7,3
58.1,0.0,1.257725952,8,3
58.7,0.0,1.259810816,9,3
59.1,0.0,1.2658688,10,3
57.5,0.0,1.26595072,11,3
58.9,0.0,1.263509504,12,3
59.6,0.0,1.260384256,13,3
73.1,0.0,1.291505664,14,3
65.8,0.0,1.261203456,15,3
57.5,0.0,1.267560448,16,3
58.7,0.0,1.266999296,17,3
60.9,0.0,1.271062528,18,3
62.2,0.0,1.260986368,19,3
65.4,0.0,1.266573312,20,3
60.5,0.0,1.263292416,21,3
66.0,0.0,1.293422592,22,3
65.2,0.0,1.267970048,23,3
60.0,0.0,1.262948352,24,3
56.9,0.0,1.263251456,25,3
66.0,0.0,1.26277632,26,3
54.2,0.0,1.269612544,27,3
60.7,0.0,1.263341568,28,3
70.7,0.0,1.269067776,29,3
77.4,0.0,1.269014528,30,3
70.3,0.0,1.269440512,31,3
67.1,0.0,1.269211136,32,3
65.6,0.0,1.270521856,33,3
64.4,0.0,1.27059968,34,3
66.3,0.0,1.27096832,35,3
72.8,0.0,1.264422912,36,3
58.6,0.0,1.271021568,1,4
60.2,0.0,1.269436416,2,4
59.6,0.0,1.271140352,3,4
60.1,0.0,1.27133696,4,4
59.9,0.0,1.272803328,5,4
60.3,0.0,1.282830336,6,4
60.8,0.0,1.274793984,7,4
59.9,0.0,1.266925568,8,4
61.0,0.0,1.27219712,9,4
62.0,0.0,1.267695616,10,4
61.4,0.0,1.268965376,11,4
59.2,0.0,1.276633088,12,4
62.1,0.0,1.304707072,13,4
67.3,0.0,1.270898688,14,4
60.0,0.0,1.278717952,15,4
66.8,0.0,1.277038592,16,4
63.0,0.0,1.271668736,17,4
62.3,0.0,1.27709184,18,4
63.7,0.0,1.277997056,19,4
63.5,0.0,1.27172608,20,4
64.5,0.0,1.271922688,21,4
64.0,0.0,1.272168448,22,4
74.2,0.0,1.280147456,23,4
67.1,0.0,1.27930368,24,4
71.2,0.0,1.274806272,25,4
64.9,0.0,1.273729024,26,4
72.1,0.0,1.281060864,27,4
69.2,0.0,1.281191936,28,4
66.6,0.0,1.27459328,29,4
71.6,0.0,1.275674624,30,4
71.2,0.0,1.27533056,31,4
71.5,0.0,1.275052032,32,4
70.3,0.0,1.309794304,33,4
80.2,0.0,1.276055552,34,4
81.7,0.0,1.276833792,35,4
83.9,0.0,1.277530112,36,4
86.7,0.0,1.276964864,37,4
86.9,0.0,1.276071936,38,4
76.8,0.0,1.271926784,1,5
75.7,0.0,1.280299008,2,5
77.0,0.0,1.275047936,3,5
76.1,0.0,1.282301952,4,5
76.1,0.0,1.27500288,5,5
77.8,0.0,1.279393792,6,5
76.4,0.0,1.286025216,7,5
77.0,0.0,1.28659456,8,5
77.6,0.0,1.28751616,9,5
77.1,0.0,1.287712768,10,5
77.9,0.0,1.281757184,11,5
77.0,0.0,1.281564672,12,5
76.9,0.0,1.281675264,13,5
79.1,0.0,1.288040448,14,5
82.8,0.0,1.286467584,15,5
79.2,0.0,1.282629632,16,5
79.1,0.0,1.28249856,17,5
77.2,0.0,1.2828672,18,5
82.6,0.0,1.291493376,19,5
85.4,0.0,1.2874752,20,5
83.1,0.0,1.285148672,21,5
79.9,0.0,1.286762496,22,5
79.9,0.0,1.28700416,23,5
79.6,0.0,1.287405568,24,5
78.4,0.0,1.28782336,25,5
80.8,0.0,1.288216576,26,5
79.0,0.0,1.29548288,27,5
81.3,0.0,1.287774208,28,5
82.8,0.0,1.288159232,29,5
79.7,0.0,1.288626176,30,5
79.9,0.0,1.288699904,31,5
86.3,0.0,1.289568256,32,5
84.8,0.0,1.28980992,33,5
83.1,0.0,1.299111936,34,5
83.3,0.0,1.289711616,35,5
84.8,0.0,1.29634304,36,5
84.4,0.0,1.289760768,37,5
80.8,0.0,1.290518528,38,5
86.4,0.0,1.291157504,39,5
86.8,0.0,1.291268096,40,5
86.5,0.0,1.290375168,41,5
87.4,0.0,1.290235904,42,5
81.2,0.0,1.295069184,1,6
80.1,0.0,1.325047808,2,6
80.8,0.0,1.30746368,3,6
79.5,0.0,1.291853824,4,6
79.9,0.0,1.290399744,5,6
79.8,0.0,1.291776,6,6
80.5,0.0,1.290043392,7,6
80.4,0.0,1.291116544,8,6
81.2,0.0,1.291296768,9,6
79.8,0.0,1.29251328,10,6
80.3,0.0,1.297944576,11,6
80.7,0.0,1.298460672,12,6
80.9,0.0,1.29835008,13,6
81.6,0.0,1.293520896,14,6
82.9,0.0,1.293746176,15,6
84.5,0.0,1.3133824,16,6
84.9,0.0,1.304567808,17,6
86.1,0.0,1.294508032,18,6
84.5,0.0,1.294073856,19,6
83.6,0.0,1.293922304,20,6
87.6,0.0,1.301417984,21,6
86.6,0.0,1.295712256,22,6
85.2,0.0,1.295675392,23,6
82.8,0.0,1.295888384,24,6
83.3,0.0,1.302970368,25,6
84.6,0.0,1.295745024,26,6
83.1,0.0,1.302224896,27,6
84.8,0.0,1.340657664,28,6
88.1,0.0,1.328152576,29,6
84.3,0.0,1.302478848,30,6
87.7,0.0,1.295917056,31,6
84.1,0.0,1.300897792,32,6
85.2,0.0,1.354051584,33,6
87.0,0.0,1.339379712,34,6
81.7,0.0,1.341046784,35,6
85.5,0.0,1.296576512,36,6
84.3,0.0,1.296920576,37,6
83.4,0.0,1.297035264,38,6
87.3,0.0,1.303822336,39,6
89.2,0.0,1.298169856,40,6
83.6,0.0,1.304014848,41,6
88.7,0.0,1.29865728,42,6
80.3,0.0,1.298931712,1,7
81.9,0.0,1.306263552,2,7
82.2,0.0,1.300328448,3,7
81.6,0.0,1.303154688,4,7
82.1,0.0,1.340022784,5,7
82.7,0.0,1.305194496,6,7
82.3,0.0,1.309827072,7,7
82.9,0.0,1.312600064,8,7
83.4,0.0,1.304436736,9,7
77.9,0.0,1.30568192,10,7
83.6,0.0,1.306349568,11,7
83.0,0.0,1.303863296,12,7
82.4,0.0,1.305014272,13,7
82.4,0.0,1.304543232,14,7
82.4,0.0,1.30564096,15,7
82.3,0.0,1.307774976,16,7
82.6,0.0,1.305575424,17,7
84.8,0.0,1.306468352,18,7
82.5,0.0,1.31047424,19,7
86.3,0.0,1.307049984,20,7
85.4,0.0,1.307701248,21,7
83.0,0.0,1.308090368,22,7
85.1,0.0,1.311404032,23,7
87.8,0.0,1.31414016,24,7
86.3,0.0,1.316253696,25,7
84.3,0.0,1.309114368,26,7
86.8,0.0,1.316057088,27,7
81.0,0.0,1.310220288,28,7
84.6,0.0,1.344569344,29,7
84.9,0.0,1.315196928,30,7
84.9,0.0,1.308975104,31,7
84.4,0.0,1.3111296,32,7
87.2,0.0,1.316265984,33,7
83.8,0.0,1.31057664,34,7
82.8,0.0,1.310298112,35,7
84.1,0.0,1.310814208,36,7
84.6,0.0,1.311244288,37,7
89.6,0.0,1.314328576,38,7
87.1,0.0,1.312210944,39,7
83.9,0.0,1.31260416,40,7
85.0,0.0,1.312444416,41,7
89.3,0.0,1.31272704,42,7
87.6,0.0,1.320738816,43,7
89.7,0.0,1.3622272,44,7
90.5,0.0,1.325809664,45,7
89.9,0.0,1.33021696,46,7
85.1,0.0,1.330515968,47,7
90.1,0.0,1.324433408,48,7
88.2,0.0,1.326350336,49,7
83.7,0.0,1.329844224,1,8
84.8,0.0,1.331523584,2,8
84.9,0.0,1.325969408,3,8
83.2,0.0,1.328500736,4,8
84.2,0.0,1.328324608,5,8
83.7,0.0,1.326170112,6,8
87.1,0.0,1.3321216,7,8
85.1,0.0,1.333100544,8,8
85.2,0.0,1.335099392,9,8
84.3,0.0,1.33595136,10,8
84.6,0.0,1.327505408,11,8
84.1,0.0,1.334714368,12,8
84.4,0.0,1.328091136,13,8
83.7,0.0,1.394331648,14,8
84.2,0.0,1.355149312,15,8
84.5,0.0,1.330827264,16,8
83.4,0.0,1.3314048,17,8
84.3,0.0,1.338138624,18,8
84.7,0.0,1.337135104,19,8
86.0,0.0,1.339674624,20,8
86.0,0.0,1.338126336,21,8
83.7,0.0,1.332314112,22,8
84.4,0.0,1.332482048,23,8
89.1,0.0,1.333792768,24,8
87.5,0.0,1.33310464,25,8
87.7,0.0,1.337024512,26,8
86.6,0.0,1.339400192,27,8
85.7,0.0,1.398820864,28,8
85.4,0.0,1.334116352,29,8
87.0,0.0,1.334534144,30,8
83.9,0.0,1.333608448,31,8
84.6,0.0,1.38496,32,8
87.3,0.0,1.336901632,33,8
87.5,0.0,1.343025152,34,8
84.5,0.0,1.334800384,35,8
87.1,0.0,1.335115776,36,8
84.8,0.0,1.335689216,37,8
87.5,0.0,1.385230336,38,8
87.4,0.0,1.399988224,39,8
85.7,0.0,1.334788096,40,8
85.8,0.0,1.335267328,41,8
87.2,0.0,1.335832576,42,8
83.1,0.0,1.336205312,43,8
86.0,0.0,1.337286656,44,8
89.9,0.0,1.34404096,45,8
84.3,0.0,1.343500288,46,8
89.9,0.0,1.388457984,47,8
87.8,0.0,1.338466304,48,8
85.9,0.0,1.339400192,49,8
86.8,0.0,1.346654208,50,8
84.9,0.0,1.340289024,51,8
88.9,0.0,1.34148096,52,8
86.4,0.0,1.340571648,53,8
83.9,0.0,1.348816896,1,9
85.1,0.0,1.398185984,2,9
84.7,0.0,1.347432448,3,9
83.7,0.0,1.342005248,4,9
84.7,0.0,1.349443584,5,9
85.3,0.0,1.405861888,6,9
85.3,0.0,1.342824448,7,9
84.9,0.0,1.34295552,8,9
85.8,0.0,1.342844928,9,9
84.6,0.0,1.349955584,10,9
85.8,0.0,1.343373312,11,9
84.8,0.0,1.344200704,12,9
85.6,0.0,1.344442368,13,9
84.8,0.0,1.345830912,14,9
84.0,0.0,1.345077248,15,9
86.6,0.0,1.345560576,16,9
84.0,0.0,1.34692864,17,9
85.8,0.0,1.3463552,18,9
81.6,0.0,1.346035712,19,9
88.2,0.0,1.353396224,20,9
89.2,0.0,1.346400256,21,9
84.8,0.0,1.352691712,22,9
87.8,0.0,1.345896448,23,9
86.3,0.0,1.349357568,24,9
85.3,0.0,1.3530112,25,9
89.1,0.0,1.404837888,26,9
87.3,0.0,1.34647808,27,9
88.6,0.0,1.347764224,28,9
87.5,0.0,1.346449408,29,9
91.1,0.0,1.348845568,30,9
85.6,0.0,1.349439488,31,9
88.8,0.0,1.349337088,32,9
86.1,0.0,1.348747264,33,9
86.5,0.0,1.350152192,34,9
89.8,0.0,1.356107776,35,9
84.9,0.0,1.349627904,36,9
91.6,0.0,1.350242304,37,9
81.1,0.0,1.349967872,38,9
89.2,0.0,1.350074368,39,9
88.0,0.0,1.358290944,40,9
86.6,0.0,1.3524992,1,10
83.7,0.0,1.352146944,2,10
85.5,0.0,1.35006208,3,10
84.7,0.0,1.350418432,4,10
84.8,0.0,1.350639616,5,10
85.6,0.0,1.351303168,6,10
85.1,0.0,1.351073792,7,10
85.7,0.0,1.350930432,8,10
89.8,0.0,1.357492224,9,10
85.4,0.0,1.352114176,10,10
86.0,0.0,1.3522944,11,10
85.8,0.0,1.352572928,12,10
85.3,0.0,1.352794112,13,10
87.1,0.0,1.363132416,14,10
87.4,0.0,1.36167424,15,10
89.6,0.0,1.360166912,16,10
84.5,0.0,1.366642688,17,10
86.0,0.0,1.36005632,18,10
87.8,0.0,1.361580032,19,10
89.9,0.0,1.361424384,20,10
87.4,0.0,1.37228288,21,10
87.3,0.0,1.36380416,22,10
85.8,0.0,1.370312704,23,10
87.9,0.0,1.362845696,24,10
87.8,0.0,1.361375232,25,10
88.9,0.0,1.362522112,26,10
89.9,0.0,1.439768576,27,10
86.5,0.0,1.362317312,28,10
90.4,0.0,1.36849408,29,10
90.5,0.0,1.364824064,30,10
84.2,0.0,1.363427328,31,10
86.0,0.0,1.3640704,32,10
87.5,0.0,1.3647872,33,10
90.8,0.0,1.36448,34,10
89.1,0.0,1.371267072,35,10
88.5,0.0,1.364103168,36,10
87.5,0.0,1.371648,37,10
84.8,0.0,1.364340736,38,10
87.6,0.0,1.405190144,39,10
89.9,0.0,1.364381696,40,10
89.6,0.0,1.369669632,41,10
92.2,0.0,1.375637504,42,10
87.4,0.0,1.373810688,43,10
91.4,0.0,1.375162368,44,10
87.2,0.0,1.381650432,1,11
86.7,0.0,1.37521152,2,11
85.9,0.0,1.378377728,3,11
86.1,0.0,1.3743104,4,11
85.7,0.0,1.375133696,5,11
84.5,0.0,1.375965184,6,11
86.3,0.0,1.376120832,7,11
85.6,0.0,1.383694336,8,11
85.7,0.0,1.376079872,9,11
85.5,0.0,1.377828864,10,11
86.7,0.0,1.383706624,11,11
86.9,0.0,1.384026112,12,11
87.8,0.0,1.384419328,13,11
90.6,0.0,1.385050112,14,11
90.1,0.0,1.417527296,15,11
89.3,0.0,1.37936896,16,11
85.9,0.0,1.428557824,17,11
88.5,0.0,1.37947136,18,11
89.8,0.0,1.431576576,19,11
89.2,0.0,1.379930112,20,11
87.9,0.0,1.37996288,21,11
88.5,0.0,1.381122048,22,11
88.3,0.0,1.382207488,23,11
90.1,0.0,1.456603136,24,11
88.4,0.0,1.444028416,25,11
88.5,0.0,1.385381888,26,11
90.8,0.0,1.380274176,27,11
89.1,0.0,1.387393024,28,11
90.5,0.0,1.381978112,29,11
88.0,0.0,1.381019648,30,11
85.3,0.0,1.381687296,31,11
89.9,0.0,1.381605376,32,11
90.4,0.0,1.389682688,33,11
85.4,0.0,1.38942464,1,12
87.0,0.0,1.38274816,2,12
85.9,0.0,1.382371328,3,12
88.3,0.0,1.40439552,4,12
87.4,0.0,1.405313024,5,12
87.2,0.0,1.401442304,6,12
86.4,0.0,1.392644096,7,12
87.6,0.0,1.480720384,8,12
86.7,0.0,1.394364416,9,12
87.7,0.0,1.395761152,10,12
86.7,0.0,1.40273664,11,12
86.8,0.0,1.400242176,12,12
91.2,0.0,1.394868224,13,12
85.9,0.0,1.395822592,14,12
87.7,0.0,1.402454016,15,12
87.9,0.0,1.39753472,16,12
88.2,0.0,1.397563392,17,12
87.0,0.0,1.405718528,18,12
87.9,0.0,1.39659264,19,12
85.3,0.0,1.40466176,20,12
83.4,0.0,1.405796352,21,12
88.6,0.0,1.404428288,22,12
91.5,0.0,1.402011648,23,12
87.4,0.0,1.399443456,24,12
88.2,0.0,1.40519424,25,12
87.8,0.0,1.399279616,26,12
87.1,0.0,1.40691456,27,12
87.1,0.0,1.4062592,28,12
90.5,0.0,1.400365056,29,12
88.0,0.0,1.401081856,30,12
91.0,0.0,1.409499136,31,12
89.1,0.0,1.409560576,32,12
91.9,0.0,1.403219968,33,12
87.7,0.0,1.401040896,34,12
90.4,0.0,1.408606208,35,12
90.3,0.0,1.401188352,36,12
92.1,0.0,1.408909312,37,12
89.1,0.0,1.401675776,38,12
92.9,0.0,1.408974848,39,12
91.4,0.0,1.403650048,40,12
88.6,0.0,1.403260928,41,12
90.9,0.0,1.403559936,42,12
90.9,0.0,1.4108672,43,12
91.0,0.0,1.40972032,44,12
89.0,0.0,1.475448832,1,13
88.3,0.0,1.4094336,2,13
89.1,0.0,1.41164544,3,13
88.3,0.0,1.411760128,4,13
88.9,0.0,1.415626752,5,13
88.6,0.0,1.405476864,6,13
88.4,0.0,1.413394432,7,13
89.6,0.0,1.50370304,8,13
88.8,0.0,1.408057344,9,13
88.4,0.0,1.416097792,10,13
88.3,0.0,1.415974912,11,13
89.1,0.0,1.50198272,12,13
89.5,0.0,1.408667648,13,13
86.1,0.0,1.41123584,14,13
88.4,0.0,1.409458176,15,13
90.9,0.0,1.40945408,16,13
89.8,0.0,1.449189376,17,13
89.8,0.0,1.417043968,18,13
88.1,0.0,1.41027328,19,13
91.1,0.0,1.410998272,20,13
89.2,0.0,1.411125248,21,13
89.7,0.0,1.412128768,22,13
87.7,0.0,1.414201344,23,13
89.5,0.0,1.415892992,24,13
90.7,0.0,1.414037504,25,13
90.5,0.0,1.42125056,26,13
91.6,0.0,1.418616832,27,13
87.6,0.0,1.415348224,28,13
86.5,0.0,1.489231872,29,13
92.6,0.0,1.421058048,30,13
92.5,0.0,1.416667136,31,13
91.7,0.0,1.491628032,32,13
92.2,0.0,1.486630912,33,13
91.3,0.0,1.418985472,34,13
91.2,0.0,1.418694656,35,13
89.0,0.0,1.418579968,36,13
92.5,0.0,1.421008896,37,13
91.7,0.0,1.41965312,38,13
91.7,0.0,1.420300288,39,13
91.2,0.0,1.448054784,40,13
90.6,0.0,1.462870016,41,13
94.6,0.0,1.426849792,42,13
91.6,0.0,1.428881408,43,13
93.0,0.0,1.421852672,44,13
90.9,0.0,1.422139392,45,13
90.6,0.0,1.496977408,46,13
93.0,0.0,1.429151744,47,13
91.6,0.0,1.429655552,1,14
88.3,0.0,1.425969152,2,14
88.6,0.0,1.421213696,3,14
89.2,0.0,1.421901824,4,14
89.1,0.0,1.421635584,5,14
88.6,0.0,1.422532608,6,14
89.3,0.0,1.479110656,7,14
88.7,0.0,1.429377024,8,14
89.1,0.0,1.427685376,9,14
88.9,0.0,1.424707584,10,14
89.7,0.0,1.423294464,11,14
89.1,0.0,1.424515072,12,14
89.4,0.0,1.42784512,13,14
89.1,0.0,1.432039424,14,14
89.3,0.0,1.425321984,15,14
92.1,0.0,1.523769344,16,14
89.7,0.0,1.425952768,17,14
91.0,0.0,1.427406848,18,14
91.8,0.0,1.430122496,19,14
92.7,0.0,1.514094592,20,14
88.4,0.0,1.42739456,21,14
91.9,0.0,1.430212608,22,14
92.3,0.0,1.432334336,23,14
93.9,0.0,1.430470656,24,14
92.2,0.0,1.429389312,25,14
90.7,0.0,1.429110784,26,14
92.9,0.0,1.435537408,27,14
92.9,0.0,1.43249408,28,14
91.1,0.0,1.504514048,29,14
93.1,0.0,1.430749184,30,14
93.2,0.0,1.431330816,31,14
92.0,0.0,1.432260608,32,14
93.9,0.0,1.43276032,33,14
90.8,0.0,1.540759552,34,14
93.1,0.0,1.433833472,35,14
91.5,0.0,1.436573696,36,14
90.5,0.0,1.440985088,37,14
91.0,0.0,1.440997376,38,14
91.6,0.0,1.43415296,39,14
92.4,0.0,1.440796672,40,14
89.6,0.0,1.505579008,41,14
93.4,0.0,1.435922432,42,14
88.1,0.0,1.436192768,43,14
90.5,0.0,1.436053504,44,14
91.3,0.0,1.436213248,45,14
89.7,0.0,1.435693056,46,14
89.4,0.0,1.43663104,47,14
90.9,0.0,1.437229056,48,14
93.5,0.0,1.44474112,49,14
91.3,0.0,1.512165376,50,14
90.7,0.0,1.508102144,51,14
93.5,0.0,1.445466112,52,14
93.3,0.0,1.446592512,53,14
92.0,0.0,1.49651456,54,14
93.8,0.0,1.443233792,55,14
93.0,0.0,1.5469568,56,14
90.1,0.0,1.439678464,57,14
95.0,0.0,1.442197504,58,14
92.3,0.0,1.440141312,1,15
91.2,0.0,1.442881536,2,15
89.1,0.0,1.449254912,3,15
91.2,0.0,1.442254848,4,15
90.2,0.0,1.449541632,5,15
90.4,0.0,1.451700224,6,15
90.1,0.0,1.450299392,7,15
90.0,0.0,1.518968832,8,15
90.7,0.0,1.446383616,9,15
90.2,0.0,1.444855808,10,15
92.4,0.0,1.45125376,11,15
90.2,0.0,1.451196416,12,15
92.3,0.0,1.455230976,13,15
91.8,0.0,1.453965312,14,15
92.3,0.0,1.537769472,15,15
92.2,0.0,1.454604288,16,15
93.1,0.0,1.44713728,17,15
94.2,0.0,1.4558208,18,15
92.0,0.0,1.451143168,19,15
90.5,0.0,1.449508864,20,15
88.6,0.0,1.448259584,21,15
91.7,0.0,1.534181376,22,15
91.7,0.0,1.45774592,23,15
93.3,0.0,1.45969152,24,15
92.4,0.0,1.452724224,25,15
91.3,0.0,1.452916736,26,15
92.3,0.0,1.450913792,27,15
94.0,0.0,1.523167232,28,15
93.9,0.0,1.461121024,29,15
94.2,0.0,1.455869952,30,15
93.7,0.0,1.454788608,31,15
92.4,0.0,1.452142592,32,15
93.0,0.0,1.459724288,33,15
93.5,0.0,1.45512448,34,15
93.6,0.0,1.515769856,35,15
92.9,0.0,1.45434624,36,15
94.2,0.0,1.461248,37,15
93.4,0.0,1.46178048,38,15
92.3,0.0,1.456898048,39,15
95.3,0.0,1.545424896,40,15
92.1,0.0,1.458552832,1,16
91.5,0.0,1.457188864,2,16
91.4,0.0,1.4573568,3,16
90.2,0.0,1.46409472,4,16
91.2,0.0,1.46423808,5,16
90.4,0.0,1.458655232,6,16
