Raw Angle, Time, Match Flag, Started
1788, 1282, 1, 0
1795, 1283, 1, 0
1810, 1284, 1, 0
1803, 1285, 1, 0
1774, 1286, 1, 0
1765, 1287, 1, 0
1760, 1288, 1, 0
1741, 1289, 1, 0
1732, 1290, 1, 0
1724, 1291, 1, 0
1708, 1292, 1, 0
1698, 1293, 1, 0
1685, 1294, 1, 0
1670, 1295, 1, 0
1659, 1296, 1, 0
1648, 1297, 1, 0
1636, 1298, 1, 0
1626, 1299, 1, 0
1613, 1300, 1, 0
1599, 1301, 1, 0
1587, 1302, 1, 0
1575, 1303, 1, 0
1563, 1304, 1, 0
1553, 1305, 1, 0
1541, 1306, 1, 0
1527, 1307, 1, 0
1516, 1308, 1, 0
1504, 1309, 1, 0
1492, 1310, 1, 0
1479, 1311, 1, 0
1465, 1312, 1, 0
1454, 1313, 1, 0
1444, 1314, 1, 0
1431, 1315, 1, 0
1418, 1316, 1, 0
1407, 1317, 1, 0
1393, 1318, 1, 0
1382, 1319, 1, 0
1371, 1320, 1, 0
1358, 1321, 1, 0
1345, 1322, 1, 0
1334, 1323, 1, 0
1320, 1324, 1, 0
1309, 1325, 1, 0
1297, 1326, 1, 0
1283, 1327, 1, 0
1270, 1328, 1, 0
1258, 1329, 1, 0
1247, 1330, 1, 0
1236, 1331, 1, 0
1223, 1332, 1, 0
1212, 1333, 1, 0
1201, 1334, 1, 0
1189, 1335, 1, 0
1178, 1336, 1, 0
1166, 1337, 1, 0
1152, 1338, 1, 0
1140, 1339, 1, 0
1129, 1340, 1, 0
1116, 1341, 1, 0
1105, 1342, 1, 0
1093, 1343, 1, 0
1078, 1344, 1, 0
1066, 1345, 1, 0
1054, 1346, 1, 0
1041, 1347, 1, 0
1029, 1348, 1, 0
1017, 1349, 1, 0
1003, 1350, 1, 0
991, 1351, 1, 0
979, 1352, 1, 0
966, 1353, 1, 0
954, 1354, 1, 0
941, 1355, 1, 0
928, 1356, 1, 0
917, 1357, 1, 0
907, 1358, 1, 0
893, 1359, 1, 0
882, 1360, 1, 0
868, 1361, 1, 0
856, 1362, 1, 0
844, 1363, 1, 0
831, 1364, 1, 0
819, 1365, 1, 0
807, 1366, 1, 0
795, 1367, 1, 0
784, 1368, 1, 0
774, 1369, 1, 0
762, 1370, 1, 0
751, 1371, 1, 0
739, 1372, 1, 0
727, 1373, 1, 0
716, 1374, 1, 0
705, 1375, 1, 0
693, 1376, 1, 0
682, 1377, 1, 0
