Raw Angle, Time, Match Flag, Started
1875, 1285, 1, 0
1888, 1286, 1, 0
1897, 1287, 1, 0
1871, 1288, 1, 0
1851, 1289, 1, 0
1848, 1290, 1, 0
1834, 1291, 1, 0
1817, 1292, 1, 0
1811, 1293, 1, 0
1796, 1294, 1, 0
1782, 1295, 1, 0
1773, 1296, 1, 0
1757, 1297, 1, 0
1744, 1298, 1, 0
1733, 1299, 1, 0
1720, 1300, 1, 0
1707, 1301, 1, 0
1696, 1302, 1, 0
1683, 1303, 1, 0
1669, 1304, 1, 0
1657, 1305, 1, 0
1643, 1306, 1, 0
1631, 1307, 1, 0
1620, 1308, 1, 0
1609, 1309, 1, 0
1594, 1310, 1, 0
1582, 1311, 1, 0
1570, 1312, 1, 0
1558, 1313, 1, 0
1544, 1314, 1, 0
1534, 1315, 1, 0
1522, 1316, 1, 0
1508, 1317, 1, 0
1497, 1318, 1, 0
1485, 1319, 1, 0
1473, 1320, 1, 0
1460, 1321, 1, 0
1448, 1322, 1, 0
1435, 1323, 1, 0
1423, 1324, 1, 0
1411, 1325, 1, 0
1399, 1326, 1, 0
1386, 1327, 1, 0
1373, 1328, 1, 0
1362, 1329, 1, 0
1349, 1330, 1, 0
1338, 1331, 1, 0
1325, 1332, 1, 0
1313, 1333, 1, 0
1300, 1334, 1, 0
1290, 1335, 1, 0
1280, 1336, 1, 0
1268, 1337, 1, 0
1256, 1338, 1, 0
1243, 1339, 1, 0
1231, 1340, 1, 0
1219, 1341, 1, 0
1209, 1342, 1, 0
1198, 1343, 1, 0
1187, 1344, 1, 0
1175, 1345, 1, 0
1165, 1346, 1, 0
1154, 1347, 1, 0
1141, 1348, 1, 0
1131, 1349, 1, 0
1119, 1350, 1, 0
1107, 1351, 1, 0
1095, 1352, 1, 0
1084, 1353, 1, 0
1071, 1354, 1, 0
1059, 1355, 1, 0
1046, 1356, 1, 0
1034, 1357, 1, 0
1023, 1358, 1, 0
1011, 1359, 1, 0
999, 1360, 1, 0
986, 1361, 1, 0
975, 1362, 1, 0
962, 1363, 1, 0
950, 1364, 1, 0
938, 1365, 1, 0
927, 1366, 1, 0
915, 1367, 1, 0
905, 1368, 1, 0
895, 1369, 1, 0
883, 1370, 1, 0
872, 1371, 1, 0
859, 1372, 1, 0
847, 1373, 1, 0
834, 1374, 1, 0
823, 1375, 1, 0
812, 1376, 1, 0
