Position, Velocity, Time, Started
3, 5026.18994140625, 3373, 0
8, 5026.18994140625, 3374, 0
13, 5026.18994140625, 3375, 0
18, 5026.18994140625, 3376, 0
23, 5026.18994140625, 3377, 0
27, 5026.18994140625, 3378, 0
32, 5026.18994140625, 3379, 0
36, 5026.18994140625, 3380, 0
41, 5026.18994140625, 3381, 0
46, 5026.18994140625, 3382, 0
51, 5026.18994140625, 3383, 0
56, 5026.18994140625, 3384, 0
61, 5026.18994140625, 3385, 0
66, 5026.18994140625, 3386, 0
71, 5026.18994140625, 3387, 0
75, 5026.18994140625, 3388, 0
80, 5026.18994140625, 3389, 0
85, 5026.18994140625, 3390, 0
90, 5026.18994140625, 3391, 0
95, 5026.18994140625, 3392, 0
100, 5026.18994140625, 3393, 0
105, 5026.18994140625, 3394, 0
109, 5026.18994140625, 3395, 0
114, 5026.18994140625, 3396, 0
119, 5026.18994140625, 3397, 0
124, 5026.18994140625, 3398, 0
129, 5026.18994140625, 3399, 0
134, 5026.18994140625, 3400, 0
139, 5026.18994140625, 3401, 0
143, 5026.18994140625, 3402, 0
148, 5026.18994140625, 3403, 0
158, 5026.18994140625, 3405, 0
163, 5026.18994140625, 3406, 0
168, 5026.18994140625, 3407, 0
173, 5026.18994140625, 3408, 0
178, 5026.18994140625, 3409, 0
183, 5026.18994140625, 3410, 0
193, 5026.18994140625, 3412, 0
198, 5026.18994140625, 3413, 0
203, 5026.18994140625, 3414, 0
208, 5026.18994140625, 3415, 0
213, 5026.18994140625, 3416, 0
223, 5026.18994140625, 3418, 0
228, 5026.18994140625, 3419, 0
233, 5026.18994140625, 3420, 0
237, 5026.18994140625, 3421, 0
242, 5026.18994140625, 3422, 0
246, 5026.18994140625, 3423, 0
256, 5026.18994140625, 3425, 0
261, 5026.18994140625, 3426, 0
266, 5026.18994140625, 3427, 0
270, 5026.18994140625, 3428, 0
275, 5026.18994140625, 3429, 0
284, 5026.18994140625, 3431, 0
288, 5026.18994140625, 3432, 0
293, 5026.18994140625, 3433, 0
298, 5026.18994140625, 3434, 0
303, 5026.18994140625, 3435, 0
307, 5026.18994140625, 3436, 0
317, 5026.18994140625, 3438, 0
322, 5026.18994140625, 3439, 0
327, 5026.18994140625, 3440, 0
332, 5026.18994140625, 3441, 0
337, 5026.18994140625, 3442, 0
347, 5026.18994140625, 3444, 0
352, 5026.18994140625, 3445, 0
357, 5026.18994140625, 3446, 0
362, 5026.18994140625, 3447, 0
367, 5026.18994140625, 3448, 0
372, 5026.18994140625, 3449, 0
382, 5026.18994140625, 3451, 0
387, 5026.18994140625, 3452, 0
392, 5026.18994140625, 3453, 0
396, 5026.18994140625, 3454, 0
401, 5026.18994140625, 3455, 0
405, 5026.18994140625, 3456, 0
415, 5026.18994140625, 3458, 0
420, 5026.18994140625, 3459, 0
425, 5026.18994140625, 3460, 0
430, 5026.18994140625, 3461, 0
435, 5026.18994140625, 3462, 0
440, 5026.18994140625, 3463, 0
449, 5026.18994140625, 3465, 0
454, 5026.18994140625, 3466, 0
459, 5026.18994140625, 3467, 0
464, 5026.18994140625, 3468, 0
469, 5026.18994140625, 3469, 0
478, 5026.18994140625, 3471, 0
483, 5026.18994140625, 3472, 0
487, 5026.18994140625, 3473, 0
492, 5026.18994140625, 3474, 0
497, 5026.18994140625, 3475, 0
507, 5026.18994140625, 3477, 0
512, 5026.18994140625, 3478, 0
516, 5026.18994140625, 3479, 0
521, 5026.18994140625, 3480, 0
525, 5026.18994140625, 3481, 0
530, 5026.18994140625, 3482, 0
540, 5026.18994140625, 3484, 0
545, 5026.18994140625, 3485, 0
550, 5026.18994140625, 3486, 0
555, 5026.18994140625, 3487, 0
560, 5026.18994140625, 3488, 0
565, 5026.18994140625, 3489, 0
