Position, Velocity, Time, Started
4, 5026.18994140625, 1482, 0
9, 5026.18994140625, 1483, 0
14, 5026.18994140625, 1484, 0
19, 5026.18994140625, 1485, 0
24, 5026.18994140625, 1486, 0
29, 5026.18994140625, 1487, 0
34, 5026.18994140625, 1488, 0
39, 5026.18994140625, 1489, 0
44, 5026.18994140625, 1490, 0
49, 5026.18994140625, 1491, 0
54, 5026.18994140625, 1492, 0
58, 5026.18994140625, 1493, 0
63, 5026.18994140625, 1494, 0
68, 5026.18994140625, 1495, 0
73, 5026.18994140625, 1496, 0
78, 5026.18994140625, 1497, 0
83, 5026.18994140625, 1498, 0
87, 5026.18994140625, 1499, 0
92, 5026.18994140625, 1500, 0
97, 5026.18994140625, 1501, 0
101, 5026.18994140625, 1502, 0
106, 5026.18994140625, 1503, 0
111, 5026.18994140625, 1504, 0
117, 5026.18994140625, 1505, 0
122, 5026.18994140625, 1506, 0
127, 5026.18994140625, 1507, 0
132, 5026.18994140625, 1508, 0
137, 5026.18994140625, 1509, 0
142, 5026.18994140625, 1510, 0
147, 5026.18994140625, 1511, 0
152, 5026.18994140625, 1512, 0
157, 5026.18994140625, 1513, 0
162, 5026.18994140625, 1514, 0
167, 5026.18994140625, 1515, 0
172, 5026.18994140625, 1516, 0
177, 5026.18994140625, 1517, 0
182, 5026.18994140625, 1518, 0
187, 5026.18994140625, 1519, 0
192, 5026.18994140625, 1520, 0
197, 5026.18994140625, 1521, 0
202, 5026.18994140625, 1522, 0
206, 5026.18994140625, 1523, 0
211, 5026.18994140625, 1524, 0
217, 5026.18994140625, 1525, 0
222, 5026.18994140625, 1526, 0
226, 5026.18994140625, 1527, 0
232, 5026.18994140625, 1528, 0
241, 5026.18994140625, 1530, 0
246, 5026.18994140625, 1531, 0
251, 5026.18994140625, 1532, 0
255, 5026.18994140625, 1533, 0
260, 5026.18994140625, 1534, 0
265, 5026.18994140625, 1535, 0
270, 5026.18994140625, 1536, 0
275, 5026.18994140625, 1537, 0
285, 5026.18994140625, 1539, 0
290, 5026.18994140625, 1540, 0
295, 5026.18994140625, 1541, 0
300, 5026.18994140625, 1542, 0
304, 5026.18994140625, 1543, 0
309, 5026.18994140625, 1544, 0
314, 5026.18994140625, 1545, 0
319, 5026.18994140625, 1546, 0
324, 5026.18994140625, 1547, 0
334, 5026.18994140625, 1549, 0
339, 5026.18994140625, 1550, 0
344, 5026.18994140625, 1551, 0
348, 5026.18994140625, 1552, 0
353, 5026.18994140625, 1553, 0
358, 5026.18994140625, 1554, 0
363, 5026.18994140625, 1555, 0
368, 5026.18994140625, 1556, 0
373, 5026.18994140625, 1557, 0
377, 5026.18994140625, 1558, 0
387, 5026.18994140625, 1560, 0
392, 5026.18994140625, 1561, 0
396, 5026.18994140625, 1562, 0
401, 5026.18994140625, 1563, 0
406, 5026.18994140625, 1564, 0
411, 5026.18994140625, 1565, 0
416, 5026.18994140625, 1566, 0
425, 5026.18994140625, 1568, 0
430, 5026.18994140625, 1569, 0
434, 5026.18994140625, 1570, 0
439, 5026.18994140625, 1571, 0
444, 5026.18994140625, 1572, 0
449, 5026.18994140625, 1573, 0
454, 5026.18994140625, 1574, 0
459, 5026.18994140625, 1575, 0
464, 5026.18994140625, 1576, 0
474, 5026.18994140625, 1578, 0
479, 5026.18994140625, 1579, 0
484, 5026.18994140625, 1580, 0
488, 5026.18994140625, 1581, 0
493, 5026.18994140625, 1582, 0
498, 5026.18994140625, 1583, 0
502, 5026.18994140625, 1584, 0
508, 5026.18994140625, 1585, 0
513, 5026.18994140625, 1586, 0
517, 5026.18994140625, 1587, 0
528, 5026.18994140625, 1589, 0
533, 5026.18994140625, 1590, 0
538, 5026.18994140625, 1591, 0
543, 5026.18994140625, 1592, 0
548, 5026.18994140625, 1593, 0
552, 5026.18994140625, 1594, 0
558, 5026.18994140625, 1595, 0
563, 5026.18994140625, 1596, 0
573, 5026.18994140625, 1598, 0
578, 5026.18994140625, 1599, 0
583, 5026.18994140625, 1600, 0
588, 5026.18994140625, 1601, 0
593, 5026.18994140625, 1602, 0
597, 5026.18994140625, 1603, 0
603, 5026.18994140625, 1604, 0
607, 5026.18994140625, 1605, 0
617, 5026.18994140625, 1607, 0
622, 5026.18994140625, 1608, 0
627, 5026.18994140625, 1609, 0
631, 5026.18994140625, 1610, 0
636, 5026.18994140625, 1611, 0
640, 5026.18994140625, 1612, 0
646, 5026.18994140625, 1613, 0
651, 5026.18994140625, 1614, 0
655, 5026.18994140625, 1615, 0
665, 5026.18994140625, 1617, 0
670, 5026.18994140625, 1618, 0
674, 5026.18994140625, 1619, 0
679, 5026.18994140625, 1620, 0
683, 5026.18994140625, 1621, 0
688, 5026.18994140625, 1622, 0
693, 5026.18994140625, 1623, 0
698, 5026.18994140625, 1624, 0
708, 5026.18994140625, 1626, 0
713, 5026.18994140625, 1627, 0
718, 5026.18994140625, 1628, 0
723, 5026.18994140625, 1629, 0
728, 5026.18994140625, 1630, 0
732, 5026.18994140625, 1631, 0
737, 5026.18994140625, 1632, 0
742, 5026.18994140625, 1633, 0
747, 5026.18994140625, 1634, 0
756, 5026.18994140625, 1636, 0
761, 5026.18994140625, 1637, 0
