=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.24 15:23:39 =~=~=~=~=~=~=~=~=~=~=~=
---------
Raw Input, Angle, Radian, Angular Velocity, Angular Acceleration, Time, Started
4090,-0.44,-0.01,-4.06,-2147.77,2605845.00,0
4090,-0.44,-0.01,0.00,880.54,2610455.00,0
4090,-0.44,-0.01,0.00,0.00,2614904.00,0
4090,-0.44,-0.01,0.00,0.00,2619198.00,0
4090,-0.44,-0.01,0.00,0.00,2623522.00,0
4090,-0.44,-0.01,0.00,0.00,2627822.00,0
4090,-0.44,-0.01,0.00,0.00,2632117.00,0
4090,-0.44,-0.01,0.00,0.00,2636406.00,0
4090,-0.44,-0.01,0.00,0.00,2640700.00,0
4090,-0.44,-0.01,0.00,0.00,2645024.00,0
4090,-0.44,-0.01,0.00,0.00,2649323.00,0
4090,-0.44,-0.01,0.00,0.00,2653621.00,0
4090,-0.44,-0.01,0.00,0.00,2657910.00,0
4090,-0.44,-0.01,0.00,0.00,2662204.00,0
4090,-0.44,-0.01,0.00,0.00,2666528.00,0
4090,-0.44,-0.01,0.00,0.00,2670828.00,0
4090,-0.44,-0.01,0.00,0.00,2675126.00,0
4090,-0.44,-0.01,0.00,0.00,2679414.00,0
4090,-0.44,-0.01,0.00,0.00,2683707.00,0
4090,-0.44,-0.01,0.00,0.00,2688031.00,0
4090,-0.44,-0.01,0.00,0.00,2692331.00,0
4090,-0.44,-0.01,0.00,0.00,2696629.00,0
4090,-0.44,-0.01,0.00,0.00,2700917.00,0
4090,-0.44,-0.01,0.00,0.00,2705210.00,0
4090,-0.44,-0.01,0.00,0.00,2709525.00,0
4090,-0.44,-0.01,0.00,0.00,2713825.00,0
4090,-0.44,-0.01,0.00,0.00,2718118.00,0
4090,-0.44,-0.01,0.00,0.00,2722402.00,0
4090,-0.44,-0.01,0.00,0.00,2726710.00,0
4090,-0.44,-0.01,0.00,0.00,2730999.00,0
4090,-0.44,-0.01,0.00,0.00,2735307.00,0
4090,-0.44,-0.01,0.00,0.00,2739617.00,0
4090,-0.44,-0.01,0.00,0.00,2743901.00,0
4090,-0.44,-0.01,0.00,0.00,2748194.00,0
4090,-0.44,-0.01,0.00,0.00,2752495.00,0
4090,-0.44,-0.01,0.00,0.00,2756796.00,0
4090,-0.44,-0.01,0.00,0.00,2761114.00,0
4090,-0.44,-0.01,0.00,0.00,2765399.00,0
4090,-0.44,-0.01,0.00,0.00,2769693.00,0
4090,-0.44,-0.01,0.00,0.00,2773992.00,0
4090,-0.44,-0.01,0.00,0.00,2778301.00,0
4090,-0.44,-0.01,0.00,0.00,2782619.00,0
4090,-0.44,-0.01,0.00,0.00,2786904.00,0
4090,-0.44,-0.01,0.00,0.00,2791197.00,0
4090,-0.44,-0.01,0.00,0.00,2795496.00,0
4090,-0.44,-0.01,0.00,0.00,2799805.00,0
