=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.02 16:40:11 =~=~=~=~=~=~=~=~=~=~=~=
182343888.00,---------
Raw Input, Angle, Time, Started
76,6.68,4149725.00,0
76,6.68,4151351.00,0
76,6.68,4152981.00,0
76,6.68,4154620.00,0
76,6.68,4156251.00,0
76,6.68,4157888.00,0
76,6.68,4159514.00,0
76,6.68,4161151.00,0
76,6.68,4162788.00,0
76,6.68,4164417.00,0
75,6.59,4166048.00,0
76,6.68,4167688.00,0
76,6.68,4169325.00,0
76,6.68,4170961.00,0
76,6.68,4172586.00,0
76,6.68,4174220.00,0
76,6.68,4175835.00,0
76,6.68,4177461.00,0
76,6.68,4179097.00,0
76,6.68,4180729.00,0
76,6.68,4182363.00,0
76,6.68,4183988.00,0
76,6.68,4185621.00,0
76,6.68,4187256.00,0
76,6.68,4188892.00,0
76,6.68,4190527.00,0
76,6.68,4192153.00,0
76,6.68,4193799.00,0
76,6.68,4195427.00,0
76,6.68,4197064.00,0
76,6.68,4198692.00,0
76,6.68,4200325.00,0
75,6.68,4201955.00,0
76,6.68,4203583.00,0
75,6.59,4205213.00,0
76,6.68,4206860.00,0
76,6.68,4208491.00,0
75,6.68,4210127.00,0
76,6.68,4211747.00,0
76,6.68,4213382.00,0
76,6.68,4215012.00,0
76,6.68,4216637.00,0
76,6.68,4218262.00,0
76,6.68,4219898.00,0
76,6.68,4221529.00,0
76,6.68,4223159.00,0
76,6.68,4224788.00,0
76,6.68,4226429.00,0
76,6.68,4228047.00,0
76,6.68,4229676.00,0
76,6.68,4231314.00,0
76,6.68,4232947.00,0
75,6.59,4234590.00,0
76,6.68,4236220.00,0
76,6.68,4237845.00,0
76,6.68,4239481.00,0
76,6.68,4241118.00,0
76,6.68,4242751.00,0
76,6.68,4244376.00,0
76,6.68,4246021.00,0
76,6.68,4247647.00,0
76,6.68,4249283.00,0
76,6.68,4250915.00,0
76,6.68,4252549.00,0
76,6.68,4254181.00,0
76,6.68,4255810.00,0
75,6.59,4257441.00,0
76,6.68,4259081.00,0
76,6.68,4260711.00,0
76,6.68,4262350.00,0
76,6.68,4263971.00,0
76,6.68,4265600.00,0
76,6.68,4267230.00,0
76,6.68,4268856.00,0
76,6.68,4270482.00,0
75,6.59,4272105.00,0
76,6.68,4273743.00,0
76,6.68,4275370.00,0
76,6.68,4277000.00,0
76,6.68,4278630.00,0
76,6.68,4280266.00,0
76,6.68,4281890.00,0
75,6.59,4283535.00,0
76,6.68,4285168.00,0
76,6.68,4286799.00,0
76,6.68,4288419.00,0
76,6.68,4290056.00,0
76,6.68,4291685.00,0
76,6.68,4293322.00,0
76,6.68,4294947.00,0
76,6.68,4296574.00,0
76,6.68,4298210.00,0
76,6.68,4299839.00,0
76,6.68,4301465.00,0
75,6.59,4303115.00,0
76,6.68,4304748.00,0
76,6.68,4306382.00,0
76,6.68,4308001.00,0
76,6.68,4309628.00,0
76,6.68,4311265.00,0
76,6.68,4312896.00,0
76,6.68,4314521.00,0
76,6.68,4316153.00,0
76,6.68,4317784.00,0
76,6.59,4319422.00,0
76,6.68,4321050.00,0
76,6.68,4322694.00,0
76,6.68,4324312.00,0
76,6.68,4325937.00,0
76,6.68,4327570.00,0
76,6.68,4329206.00,0
76,6.68,4330842.00,0
76,6.68,4332468.00,0
75,6.68,4334101.00,0
76,6.68,4335735.00,0
76,6.68,4337373.00,0
76,6.68,4339007.00,0
76,6.68,4340633.00,0
76,6.68,4342271.00,0
76,6.68,4343902.00,0
76,6.68,4345538.00,0
76,6.68,4347169.00,0
76,6.68,4348806.00,0
76,6.68,4350443.00,0
76,6.68,4352072.00,0
76,6.68,4353695.00,0
76,6.68,4355336.00,0
76,6.68,4356965.00,0
76,6.68,4358600.00,0
76,6.68,4360224.00,0
76,6.68,4361851.00,0
76,6.68,4363488.00,0
76,6.68,4365118.00,0
76,6.68,4366742.00,0
76,6.68,4368360.00,0
75,6.68,4369994.00,0
76,6.68,4371624.00,0
76,6.68,4373258.00,0
76,6.68,4374888.00,0
76,6.68,4376522.00,0
75,6.68,4378147.00,0
76,6.68,4379785.00,0
76,6.68,4381415.00,0
76,6.68,4383049.00,0
76,6.68,4384672.00,0
76,6.68,4386311.00,0
76,6.68,4387943.00,0
76,6.68,4389580.00,0
76,6.68,4391203.00,0
76,6.68,4392837.00,0
76,6.68,4394469.00,0
76,6.68,4396098.00,0
75,6.59,4397728.00,0
76,6.68,4399374.00,0
76,6.68,4401005.00,0
76,6.68,4402641.00,0
76,6.68,4404266.00,0
76,6.68,4405899.00,0
76,6.68,4407532.00,0
76,6.68,4409164.00,0
75,6.68,4410788.00,0
76,6.68,4412425.00,0
76,6.68,4414059.00,0
76,6.68,4415696.00,0
76,6.68,4417321.00,0
76,6.68,4418957.00,0
76,6.68,4420572.00,0
76,6.68,4422198.00,0
76,6.68,4423833.00,0
76,6.68,4425470.00,0
76,6.68,4427098.00,0
76,6.68,4428723.00,0
76,6.68,4430357.00,0
76,6.68,4431989.00,0
76,6.68,4433624.00,0
76,6.68,4435249.00,0
76,6.68,4436878.00,0
76,6.68,4438516.00,0
76,6.68,4440147.00,0
76,6.68,4441779.00,0
76,6.68,4443414.00,0
76,6.68,4445048.00,0
76,6.68,4446682.00,0
75,6.68,4448309.00,0
76,6.68,4449941.00,0
76,6.68,4451578.00,0
76,6.68,4453209.00,0
75,6.59,4454840.00,0
76,6.68,4456471.00,0
76,6.68,4458111.00,0
76,6.68,4459748.00,0
75,6.68,4461378.00,0
76,6.68,4463005.00,0
76,6.68,4464637.00,0
76,6.68,4466278.00,0
76,6.68,4467920.00,0
76,6.59,4469551.00,0
76,6.68,4471186.00,0
76,6.68,4472809.00,0
76,6.68,4474442.00,0
76,6.68,4476072.00,0
76,6.68,4477707.00,0
76,6.68,4479338.00,0
76,6.68,4480970.00,0
76,6.68,4482593.00,0
76,6.68,4484231.00,0
76,6.68,4485860.00,0
76,6.68,4487489.00,0
76,6.68,4489115.00,0
76,6.68,4490751.00,0
76,6.68,4492383.00,0
76,6.68,4494018.00,0
76,6.68,4495650.00,0
76,6.68,4497279.00,0
75,6.59,4498919.00,0
76,6.68,4500557.00,0
76,6.68,4502188.00,0
76,6.68,4503826.00,0
76,6.68,4505462.00,0
76,6.68,4507099.00,0
76,6.68,4508723.00,0
76,6.68,4510358.00,0
76,6.68,4512005.00,0
76,6.68,4513629.00,0
76,6.68,4515263.00,0
76,6.68,4516888.00,0
76,6.68,4518523.00,0
76,6.68,4520158.00,0
76,6.68,4521784.00,0
76,6.68,4523412.00,0
76,6.68,4525033.00,0
76,6.68,4526667.00,0
76,6.68,4528296.00,0
76,6.68,4529931.00,0
76,6.68,4531561.00,0
76,6.68,4533193.00,0
76,6.68,4534818.00,0
76,6.68,4536456.00,0
76,6.68,4538085.00,0
76,6.68,4539712.00,0
76,6.68,4541338.00,0
76,6.68,4542984.00,0
76,6.68,4544617.00,0
76,6.68,4546252.00,0
76,6.68,4547875.00,0
76,6.68,4549509.00,0
76,6.68,4551140.00,0
76,6.68,4552770.00,0
76,6.68,4554396.00,0
76,6.59,4556043.00,0
76,6.68,4557676.00,0
76,6.68,4559312.00,0
76,6.68,4560938.00,0
