CPU,GPU,RAM,Moves,Loop
74.1,0.0,1.253064704,,
67.4,0.0,1.288310784,,
33.1,0.0,1.295970304,,
10.2,0.0,1.296961536,,
10.4,0.0,1.298378752,,
8.0,0.0,1.29785856,,
10.2,0.0,1.299730432,,
9.0,0.0,1.30121728,,
10.8,0.0,1.301446656,,
8.3,0.0,1.301467136,,
13.0,0.0,1.2469248,,
10.6,0.0,1.222447104,,
8.4,0.0,1.22253312,,
10.9,0.0,1.22464256,,
9.3,0.0,1.22814464,,
11.9,0.0,1.227116544,,
14.1,0.0,1.227661312,,
13.6,0.0,1.227964416,,
36.7,0.0,1.18687744,,
15.6,0.0,1.185509376,,
9.6,0.0,1.188990976,,
9.7,0.0,1.191604224,,
10.1,0.0,1.1916288,,
9.8,0.0,1.193193472,,
10.7,0.0,1.193734144,,
10.5,0.0,1.194057728,,
10.5,0.0,1.194958848,,
10.4,0.0,1.197948928,,
9.9,0.0,1.199173632,,
32.2,0.0,1.151393792,,
11.4,0.0,1.151791104,,
10.5,0.0,1.152294912,,
10.3,0.0,1.152978944,,
10.4,0.0,1.15234816,,
11.0,0.0,1.153138688,,
10.7,0.0,1.155862528,,
11.6,0.0,1.156083712,,
11.3,0.0,1.155616768,,
10.7,0.0,1.156145152,,
10.9,0.0,1.156272128,,
10.4,0.0,1.156866048,,
11.0,0.0,1.15658752,,
9.5,0.0,1.159749632,,
11.7,0.0,1.160302592,,
11.1,0.0,1.159892992,,
11.1,0.0,1.160454144,,
11.2,0.0,1.160404992,,
11.4,0.0,1.160941568,,
11.9,0.0,1.159110656,,
12.2,0.0,1.159688192,,
11.1,0.0,1.159917568,,
11.9,0.0,1.160511488,,
11.8,0.0,1.161015296,,
11.0,0.0,1.161367552,,
11.8,0.0,1.161904128,,
12.1,0.0,1.162686464,,
12.2,0.0,1.162289152,,
13.0,0.0,1.16160512,,
12.4,0.0,1.161928704,,
12.8,0.0,1.162633216,,
11.5,0.0,1.163145216,,
12.6,0.0,1.164038144,,
11.9,0.0,1.16414464,,
12.9,0.0,1.164087296,,
12.6,0.0,1.164972032,,
12.6,0.0,1.16441088,,
13.6,0.0,1.164132352,,
12.7,0.0,1.163603968,,
13.3,0.0,1.163657216,,
13.2,0.0,1.163112448,,
12.6,0.0,1.163902976,,
13.6,0.0,1.163972608,,
14.2,0.0,1.16447232,,
13.3,0.0,1.16385792,,
13.8,0.0,1.16412416,,
12.7,0.0,1.163993088,,
14.3,0.0,1.1656192,,
13.7,0.0,1.166282752,,
14.8,0.0,1.166045184,,
14.2,0.0,1.165795328,,
13.3,0.0,1.164886016,,
14.1,0.0,1.166077952,,
13.7,0.0,1.166598144,,
14.9,0.0,1.166606336,,
15.4,0.0,1.1669504,,
15.3,0.0,1.16738048,,
14.3,0.0,1.167695872,,
14.7,0.0,1.16840448,,
14.6,0.0,1.168539648,,
14.0,0.0,1.1692032,,
15.8,0.0,1.168580608,,
17.9,0.0,1.170358272,,
14.5,0.0,1.170317312,,
14.5,0.0,1.170587648,,
14.6,0.0,1.170907136,,
15.2,0.0,1.171718144,,
16.8,0.0,1.172926464,,
19.0,0.0,1.188216832,,
19.0,0.0,1.171931136,,
17.1,0.0,1.17252096,,
15.9,0.0,1.171963904,,
16.3,0.0,1.172893696,,
16.8,0.0,1.172533248,,
17.6,0.0,1.173766144,,
18.1,0.0,1.172893696,,
15.8,0.0,1.172877312,,
17.4,0.0,1.173676032,,
17.2,0.0,1.173921792,,
18.4,0.0,1.173426176,,
17.2,0.0,1.175445504,,
17.5,0.0,1.175527424,,
18.5,0.0,1.175527424,,
16.8,0.0,1.175691264,,
19.1,0.0,1.176051712,,
16.9,0.0,1.176223744,,
20.0,0.0,1.176252416,,
18.4,0.0,1.177309184,,
16.5,0.0,1.177088,,
18.5,0.0,1.177591808,,
16.3,0.0,1.177604096,,
18.7,0.0,1.176465408,,
18.9,0.0,1.178677248,,
17.4,0.0,1.178599424,,
19.4,0.0,1.177583616,,
17.9,0.0,1.178128384,,
19.5,0.0,1.178308608,,
17.3,0.0,1.1788288,,
20.8,0.0,1.178882048,,
19.3,0.0,1.179508736,,
18.7,0.0,1.178996736,,
19.7,0.0,1.18011904,,
18.7,0.0,1.180278784,,
22.0,0.0,1.179938816,,
19.8,0.0,1.180823552,,
18.6,0.0,1.180028928,,
20.7,0.0,1.179754496,,
20.3,0.0,1.180356608,,
20.1,0.0,1.180647424,,
18.3,0.0,1.181929472,,
21.5,0.0,1.1819008,,
20.3,0.0,1.181732864,,
20.3,0.0,1.18249472,,
20.7,0.0,1.181642752,,
18.4,0.0,1.181638656,,
23.1,0.0,1.182134272,,
19.2,0.0,1.183490048,,
20.6,0.0,1.183653888,,
22.6,0.0,1.183023104,,
20.9,0.0,1.183678464,,
21.3,0.0,1.183686656,,
19.7,0.0,1.18376448,,
22.0,0.0,1.183514624,,
22.5,0.0,1.183236096,,
19.8,0.0,1.184755712,,
24.7,0.0,1.184464896,,
23.3,0.0,1.185927168,,
39.5,0.0,1.189687296,,
25.0,0.0,1.192497152,,
24.6,0.0,1.19046144,,
21.1,0.0,1.189888,,
23.9,0.0,1.190879232,,
20.8,0.0,1.190600704,,
21.8,0.0,1.190580224,,
22.6,0.0,1.190969344,,
21.3,0.0,1.19033856,,
21.1,0.0,1.191399424,,
21.3,0.0,1.192189952,,
21.2,0.0,1.192501248,,
21.2,0.0,1.193476096,,
20.7,0.0,1.194074112,,
23.3,0.0,1.192747008,,
22.6,0.0,1.192456192,,
21.9,0.0,1.193316352,,
23.8,0.0,1.192542208,,
23.6,0.0,1.19212032,,
21.6,0.0,1.191882752,,
22.6,0.0,1.192275968,,
24.7,0.0,1.192902656,,
23.1,0.0,1.191481344,,
22.7,0.0,1.192787968,,
21.7,0.0,1.192972288,,
25.4,0.0,1.192886272,,
22.0,0.0,1.192894464,,
23.5,0.0,1.194602496,,
24.2,0.0,1.194082304,,
23.0,0.0,1.19482368,,
22.5,0.0,1.195409408,,
23.9,0.0,1.19468032,,
23.6,0.0,1.195065344,,
23.4,0.0,1.194389504,,
24.7,0.0,1.194729472,,
23.4,0.0,1.197535232,,
27.2,0.0,1.196679168,,
24.3,0.0,1.196957696,,
23.9,0.0,1.19814144,,
24.3,0.0,1.19904256,,
25.2,0.0,1.199427584,,
27.0,0.0,1.199067136,,
21.5,0.0,1.199181824,,
26.6,0.0,1.199460352,,
