Depth: 6, Last Depth: 5, Val: 213, Piece: (3, 2), Move: [2, 1]
Depth: 5, Last Depth: 5, Val: 2163, Piece: (6, 1), Move: [4, 3]
Depth: 1, Last Depth: 1, Val: 2163, Piece: (4, 3), Move: [6, 5]
Depth: 6, Last Depth: 5, Val: 3, Piece: (6, 1), Move: [5, 0]
Depth: 6, Last Depth: 5, Val: 23, Piece: (5, 0), Move: [4, 1]
Depth: 6, Last Depth: 5, Val: 23, Piece: (4, 1), Move: [3, 0]
Depth: 6, Last Depth: 5, Val: 23, Piece: (6, 3), Move: [5, 2]
Depth: 5, Last Depth: 4, Val: 23, Piece: (6, 5), Move: [5, 4]
Depth: 6, Last Depth: 5, Val: 23, Piece: (5, 2), Move: [4, 1]
Depth: 6, Last Depth: 5, Val: 23, Piece: (6, 7), Move: [5, 6]
Depth: 6, Last Depth: 5, Val: 23, Piece: (5, 4), Move: [4, 5]
Depth: 6, Last Depth: 5, Val: -77, Piece: (4, 1), Move: [3, 2]
Depth: 6, Last Depth: 5, Val: -177, Piece: (3, 0), Move: [2, 1]
Depth: 6, Last Depth: 5, Val: -277, Piece: (5, 6), Move: [4, 5]
Depth: 7, Last Depth: 6, Val: -277, Piece: (7, 2), Move: [6, 1]
Depth: 7, Last Depth: 6, Val: -277, Piece: (6, 1), Move: [5, 0]
Depth: 6, Last Depth: 5, Val: -277, Piece: (5, 0), Move: [4, 1]
Depth: 7, Last Depth: 6, Val: -277, Piece: (7, 6), Move: [6, 5]
Depth: 9, Last Depth: 8, Val: -427, Piece: (4, 5), Move: [3, 4]
Depth: 7, Last Depth: 6, Val: -547, Piece: (7, 0), Move: [6, 1]
Depth: 7, Last Depth: 6, Val: -717, Piece: (7, 4), Move: [6, 3]
Depth: 4, Last Depth: 4, Val: 2113, Piece: (6, 1), Move: [3, 4]
Depth: 1, Last Depth: 1, Val: 2363, Piece: (3, 4), Move: [2, 5]
Depth: 3, Last Depth: 3, Val: 2363, Piece: (2, 5), Move: [4, 3]
Depth: 1, Last Depth: 1, Val: 2363, Piece: (7, 4), Move: [5, 6]
Depth: 6, Last Depth: 5, Val: 3, Piece: (6, 1), Move: [5, 0]
Depth: 6, Last Depth: 5, Val: 3, Piece: (5, 0), Move: [4, 1]
Depth: 5, Last Depth: 4, Val: 3, Piece: (4, 1), Move: [3, 0]
Depth: 5, Last Depth: 4, Val: 13, Piece: (3, 0), Move: [2, 1]
Depth: 6, Last Depth: 5, Val: 73, Piece: (2, 1), Move: [1, 0]
Depth: 6, Last Depth: 5, Val: 73, Piece: (1, 0), Move: [0, 1]
Depth: 6, Last Depth: 5, Val: 73, Piece: (0, 1), Move: [1, 0]
Depth: 6, Last Depth: 5, Val: 73, Piece: (6, 3), Move: [5, 2]
Depth: 6, Last Depth: 5, Val: 123, Piece: (5, 2), Move: [4, 3]
Depth: 7, Last Depth: 6, Val: 123, Piece: (1, 0), Move: [3, 2]
Depth: 6, Last Depth: 5, Val: 123, Piece: (6, 7), Move: [5, 6]
Depth: 7, Last Depth: 6, Val: 123, Piece: (5, 6), Move: [4, 5]
Depth: 7, Last Depth: 6, Val: 23, Piece: (4, 3), Move: [3, 2]
Depth: 7, Last Depth: 6, Val: -77, Piece: (7, 0), Move: [6, 1]
Depth: 7, Last Depth: 6, Val: -77, Piece: (6, 1), Move: [5, 0]
Depth: 7, Last Depth: 6, Val: -77, Piece: (5, 0), Move: [4, 1]
Depth: 7, Last Depth: 6, Val: -77, Piece: (4, 1), Move: [3, 0]
Depth: 7, Last Depth: 6, Val: -77, Piece: (3, 0), Move: [2, 1]
Depth: 7, Last Depth: 6, Val: -77, Piece: (2, 1), Move: [1, 0]
Depth: 8, Last Depth: 7, Val: 23, Piece: (1, 0), Move: [0, 1]
Depth: 7, Last Depth: 6, Val: 63, Piece: (0, 1), Move: [1, 0]
Depth: 7, Last Depth: 6, Val: 163, Piece: (6, 5), Move: [4, 3]
Depth: 3, Last Depth: 3, Val: 2363, Piece: (6, 1), Move: [4, 3]
Depth: 9, Last Depth: 8, Val: -2867, Piece: (4, 7), Move: [3, 6]
Depth: 9, Last Depth: 8, Val: -2327, Piece: (7, 4), Move: [6, 5]
Depth: 9, Last Depth: 8, Val: -247, Piece: (6, 5), Move: [5, 6]
Depth: 10, Last Depth: 9, Val: -2247, Piece: (7, 0), Move: [6, 1]
