Raw Angle, Time, Match Flag, Started
1909, 5200, 0, 1
1911, 5201, 0, 1
1927, 5202, 0, 1
1931, 5203, 0, 1
1902, 5204, 0, 1
1884, 5205, 0, 1
1883, 5206, 0, 1
1869, 5207, 0, 1
1859, 5208, 0, 1
1852, 5209, 0, 1
1834, 5210, 0, 1
1822, 5211, 0, 1
1814, 5212, 0, 1
1803, 5213, 0, 1
1790, 5214, 0, 1
1782, 5215, 0, 1
1772, 5216, 0, 1
1762, 5217, 0, 1
1753, 5218, 0, 1
1741, 5219, 0, 1
1729, 5220, 0, 1
1719, 5221, 0, 1
1707, 5222, 0, 1
1695, 5223, 0, 1
1682, 5224, 0, 1
1670, 5225, 0, 1
1660, 5226, 0, 1
1647, 5227, 0, 1
1637, 5228, 0, 1
1627, 5229, 0, 1
1615, 5230, 0, 1
1603, 5231, 0, 1
1590, 5232, 0, 1
1578, 5233, 0, 1
1568, 5234, 0, 1
1556, 5235, 0, 1
1546, 5236, 0, 1
1534, 5237, 0, 1
1520, 5238, 0, 1
1508, 5239, 0, 1
1497, 5240, 0, 1
1485, 5241, 0, 1
1472, 5242, 0, 1
1459, 5243, 0, 1
1446, 5244, 0, 1
1432, 5245, 0, 1
1420, 5246, 0, 1
1407, 5247, 0, 1
1393, 5248, 0, 1
1381, 5249, 0, 1
1368, 5250, 0, 1
1357, 5251, 0, 1
1344, 5252, 0, 1
1333, 5253, 0, 1
1322, 5254, 0, 1
1308, 5255, 0, 1
1297, 5256, 0, 1
1283, 5257, 0, 1
1269, 5258, 0, 1
1258, 5259, 0, 1
1246, 5260, 0, 1
1233, 5261, 0, 1
1220, 5262, 0, 1
1208, 5263, 0, 1
1197, 5264, 0, 1
1185, 5265, 0, 1
1173, 5266, 0, 1
1161, 5267, 0, 1
1147, 5268, 0, 1
1137, 5269, 0, 1
1124, 5270, 0, 1
1112, 5271, 0, 1
1102, 5272, 0, 1
1088, 5273, 0, 1
1078, 5274, 0, 1
1068, 5275, 0, 1
1056, 5276, 0, 1
1044, 5277, 0, 1
1033, 5278, 0, 1
1022, 5279, 0, 1
1009, 5280, 0, 1
996, 5281, 0, 1
985, 5282, 0, 1
972, 5283, 0, 1
960, 5284, 0, 1
946, 5285, 0, 1
933, 5286, 0, 1
922, 5287, 0, 1
908, 5288, 0, 1
896, 5289, 0, 1
882, 5290, 0, 1
868, 5291, 0, 1
857, 5292, 0, 1
845, 5293, 0, 1
834, 5294, 0, 1
824, 5295, 0, 1
813, 5296, 0, 1
802, 5297, 0, 1
790, 5298, 0, 1
780, 5299, 0, 1
770, 5300, 0, 1
759, 5301, 0, 1
749, 5302, 0, 1
738, 5303, 0, 1
727, 5304, 0, 1
716, 5305, 0, 1
704, 5306, 0, 1
694, 5307, 0, 1
682, 5308, 0, 1
669, 5309, 0, 1
660, 5310, 0, 1
648, 5311, 0, 1
637, 5312, 0, 1
625, 5313, 0, 1
