Raw Angle, Time
3141, 6104
3140, 6105
3133, 6106
3113, 6107
3100, 6108
3091, 6109
3082, 6110
3069, 6111
3058, 6112
3046, 6113
3034, 6114
3025, 6115
3015, 6116
3001, 6117
2989, 6118
2980, 6119
2968, 6120
2957, 6121
2949, 6122
2936, 6123
2924, 6124
2911, 6125
2903, 6126
2891, 6127
2880, 6128
2870, 6129
2858, 6130
2845, 6131
2834, 6132
2824, 6133
2812, 6134
2801, 6135
2790, 6136
2779, 6137
2768, 6138
2755, 6139
2745, 6140
2734, 6141
2721, 6142
2712, 6143
2698, 6144
2687, 6145
2677, 6146
2665, 6147
2652, 6148
2641, 6149
2631, 6150
2617, 6151
2605, 6152
2595, 6153
2583, 6154
2570, 6155
2559, 6156
2546, 6157
2535, 6158
2525, 6159
2510, 6160
2497, 6161
2484, 6162
2474, 6163
2460, 6164
2448, 6165
2437, 6166
2424, 6167
2410, 6168
2400, 6169
2386, 6170
2372, 6171
2360, 6172
2348, 6173
2335, 6174
2321, 6175
2309, 6176
2296, 6177
2283, 6178
2272, 6179
2258, 6180
2245, 6181
2231, 6182
2219, 6183
2204, 6184
2191, 6185
2178, 6186
2168, 6187
2171, 6188
2172, 6189
2169, 6190
2170, 6191
2174, 6192
2171, 6193
2170, 6194
2173, 6195
2171, 6196
2170, 6197
2172, 6198
2171, 6199
2170, 6200
2172, 6201
2172, 6202
2171, 6203
2171, 6204
2171, 6205
2170, 6206
2171, 6207
2171, 6208
2170, 6209
2172, 6210
2172, 6211
2171, 6212
2171, 6213
2172, 6214
2171, 6215
2171, 6216
2171, 6217
2170, 6218
2171, 6219
2171, 6220
2170, 6221
2171, 6222
2171, 6223
2171, 6224
2171, 6225
2171, 6226
2171, 6227
2171, 6228
2171, 6229
2171, 6230
2171, 6231
2171, 6232
2171, 6233
2171, 6234
2171, 6235
2171, 6236
2171, 6237
2171, 6238
2171, 6239
2171, 6240
2171, 6241
2171, 6242
2171, 6243
2171, 6244
2171, 6245
2172, 6246
2172, 6247
2171, 6248
2171, 6249
2171, 6250
2171, 6251
2171, 6252
2171, 6253
2171, 6254
2171, 6255
2171, 6256
2171, 6257
2171, 6258
2172, 6259
2171, 6260
2171, 6261
2171, 6262
2171, 6263
2172, 6264
2172, 6265
2171, 6266
2171, 6267
2172, 6268
2171, 6269
2171, 6270
2171, 6271
2171, 6272
2172, 6273
2172, 6274
2171, 6275
2172, 6276
2171, 6277
2171, 6278
2171, 6279
2171, 6280
2171, 6281
2171, 6282
2171, 6283
2171, 6284
2171, 6285
2172, 6286
2172, 6287
2171, 6288
2171, 6289
2171, 6290
2171, 6291
2172, 6292
2171, 6293
2171, 6294
2171, 6295
2171, 6296
2172, 6297
2172, 6298
2171, 6299
2171, 6300
2172, 6301
2171, 6302
2171, 6303
2171, 6304
2171, 6305
2171, 6306
2170, 6307
2171, 6308
2171, 6309
2171, 6310
2171, 6311
2171, 6312
2171, 6313
2171, 6314
2171, 6315
2172, 6316
2171, 6317
2171, 6318
2171, 6319
2171, 6320
2171, 6321
2171, 6322
2171, 6323
2172, 6324
2171, 6325
2171, 6326
2171, 6327
2171, 6328
2171, 6329
2171, 6330
2171, 6331
2171, 6332
2171, 6333
2171, 6334
2172, 6335
2172, 6336
2171, 6337
2171, 6338
2171, 6339
2171, 6340
2171, 6341
2171, 6342
2171, 6343
2171, 6344
2171, 6345
2172, 6346
2171, 6347
2171, 6348
2171, 6349
2171, 6350
2171, 6351
2171, 6352
2171, 6353
2171, 6354
2171, 6355
2172, 6356
2172, 6357
2171, 6358
