Position, Velocity, Time, Started
0, 0.0, 8404, 0
4, 5026.18994140625, 8405, 0
9, 5026.18994140625, 8406, 0
14, 5026.18994140625, 8407, 0
19, 5026.18994140625, 8408, 0
24, 5026.18994140625, 8409, 0
28, 5026.18994140625, 8410, 0
32, 5026.18994140625, 8411, 0
37, 5026.18994140625, 8412, 0
42, 5026.18994140625, 8413, 0
47, 5026.18994140625, 8414, 0
51, 5026.18994140625, 8415, 0
56, 5026.18994140625, 8416, 0
60, 5026.18994140625, 8417, 0
65, 5026.18994140625, 8418, 0
69, 5026.18994140625, 8419, 0
73, 5026.18994140625, 8420, 0
78, 5026.18994140625, 8421, 0
83, 5026.18994140625, 8422, 0
87, 5026.18994140625, 8423, 0
91, 5026.18994140625, 8424, 0
96, 5026.18994140625, 8425, 0
101, 5026.18994140625, 8426, 0
106, 5026.18994140625, 8427, 0
110, 5026.18994140625, 8428, 0
115, 5026.18994140625, 8429, 0
120, 5026.18994140625, 8430, 0
124, 5026.18994140625, 8431, 0
129, 5026.18994140625, 8432, 0
134, 5026.18994140625, 8433, 0
138, 5026.18994140625, 8434, 0
143, 5026.18994140625, 8435, 0
147, 5026.18994140625, 8436, 0
152, 5026.18994140625, 8437, 0
156, 5026.18994140625, 8438, 0
161, 5026.18994140625, 8439, 0
165, 5026.18994140625, 8440, 0
175, 5026.18994140625, 8442, 0
180, 5026.18994140625, 8443, 0
185, 5026.18994140625, 8444, 0
190, 5026.18994140625, 8445, 0
195, 5026.18994140625, 8446, 0
199, 5026.18994140625, 8447, 0
209, 5026.18994140625, 8449, 0
214, 5026.18994140625, 8450, 0
219, 5026.18994140625, 8451, 0
223, 5026.18994140625, 8452, 0
228, 5026.18994140625, 8453, 0
232, 5026.18994140625, 8454, 0
237, 5026.18994140625, 8455, 0
246, 5026.18994140625, 8457, 0
251, 5026.18994140625, 8458, 0
255, 5026.18994140625, 8459, 0
260, 5026.18994140625, 8460, 0
264, 5026.18994140625, 8461, 0
269, 5026.18994140625, 8462, 0
